REFERENCE  OUTPUT
-1.601562  39.478516
-2.595703  45.718750
-2.820312  44.953125
-1.767578  30.339844
-0.500000  13.798828
-0.046875  21.705078
-0.115234  23.037109
0.046875  21.482422
-0.875000  31.783203
-1.326172  34.962891
-1.603516  31.105469
-1.654297  27.542969
-1.892578  27.281250
-2.154297  30.001953
-2.384766  34.232422
-2.734375  38.292969
-1.808594  25.535156
-0.207031  14.710938
-0.646484  26.226562
-0.691406  24.449219
-1.039062  24.052734
-1.945312  27.800781
-1.923828  30.666016
-1.890625  28.931641
-1.839844  24.378906
-2.064453  20.509766
-1.871094  18.925781
-1.322266  20.544922
-1.371094  30.328125
-1.113281  27.699219
-0.148438  21.396484
-0.437500  26.296875
-0.445312  31.703125
-0.953125  35.753906
-1.316406  41.509766
-1.773438  46.527344
-1.933594  44.675781
-1.937500  39.566406
-1.976562  32.955078
-1.767578  28.683594
-1.394531  25.371094
-1.105469  30.410156
-1.125000  31.568359
-0.302734  25.541016
1.158203  -55.564453
1.558594  -9.585938
2.349609  9.728516
2.494141  17.744141
1.726562  12.197266
1.177734  5.882812
0.810547  0.691406
0.601562  3.785156
0.708984  13.679688
0.410156  14.125000
-0.001953  3.275391
-0.443359  -49.552734
0.302734  -30.220703
1.208984  -63.996094
1.746094  -63.996094
2.449219  5.447266
3.537109  34.509766
3.910156  27.509766
3.437500  11.994141
2.359375  8.820312
1.611328  16.041016
1.296875  28.199219
0.148438  19.597656
-0.259766  -20.115234
-0.916016  -63.996094
-0.423828  -63.996094
0.560547  6.138672
1.412109  5.281250
1.755859  10.343750
3.742188  34.242188
4.871094  22.994141
5.847656  10.828125
4.626953  10.042969
2.650391  22.718750
2.509766  31.003906
1.085938  16.294922
0.525391  -63.996094
0.240234  -63.996094
0.306641  -63.996094
0.507812  25.339844
0.894531  24.871094
0.748047  9.589844
3.777344  16.603516
5.552734  7.962891
6.609375  6.806641
6.076172  11.871094
4.505859  33.972656
4.576172  40.167969
2.345703  13.509766
0.794922  -63.996094
0.326172  -63.996094
0.960938  -63.996094
0.515625  23.621094
0.441406  24.689453
0.878906  6.455078
3.890625  -63.996094
6.228516  -63.996094
6.302734  -63.996094
5.564453  6.236328
3.892578  27.527344
3.093750  27.181641
1.152344  -49.044922
-1.029297  -63.996094
-1.744141  -63.996094
0.056641  -63.996094
1.660156  15.693359
1.222656  17.763672
1.808594  10.007812
5.580078  7.000000
8.357422  12.308594
8.017578  14.085938
6.957031  14.693359
5.035156  15.322266
2.035156  17.980469
-0.037109  4.339844
-1.687500  -63.996094
-1.714844  -63.996094
-0.519531  -63.996094
2.193359  16.220703
2.640625  31.423828
2.693359  29.712891
3.677734  30.527344
4.402344  37.718750
3.769531  41.039062
3.517578  35.945312
3.388672  29.662109
2.865234  37.941406
1.736328  44.271484
0.287109  8.480469
0.248047  -63.996094
1.089844  -63.996094
2.228516  39.251953
2.572266  58.886719
2.566406  40.021484
2.632812  26.951172
1.859375  21.169922
1.826172  19.500000
2.513672  22.099609
3.062500  29.804688
2.988281  41.402344
2.089844  51.296875
0.390625  29.361328
0.496094  11.128906
1.187500  1.289062
1.339844  36.796875
1.275391  46.402344
1.699219  23.697266
2.976562  20.667969
2.130859  13.794922
1.865234  14.261719
2.173828  18.621094
2.398438  27.652344
2.228516  35.451172
0.984375  44.900391
-0.556641  40.542969
-0.714844  25.675781
0.128906  8.806641
1.550781  22.205078
1.683594  27.406250
2.083984  19.107422
3.560547  29.777344
2.865234  29.654297
2.638672  28.615234
2.794922  28.708984
2.812500  33.630859
2.492188  39.484375
1.685547  45.724609
1.384766  44.958984
0.695312  30.345703
0.462891  13.804688
1.119141  21.710938
1.267578  23.042969
1.855469  21.488281
2.271484  31.789062
1.912109  34.968750
1.703125  31.111328
1.802734  27.548828
1.775391  27.287109
1.906250  30.007812
1.875000  34.238281
2.037109  38.298828
1.525391  25.541016
0.916016  14.716797
0.292969  26.232422
0.484375  24.455078
0.505859  24.058594
0.593750  27.806641
0.650391  30.671875
0.931641  28.937500
0.964844  24.384766
0.828125  20.515625
1.185547  18.931641
1.394531  20.550781
1.466797  30.333984
1.298828  27.705078
0.814453  21.402344
0.699219  26.302734
0.710938  31.708984
0.548828  35.759766
1.001953  41.515625
1.269531  46.533203
1.488281  44.681641
1.445312  39.572266
1.248047  32.960938
1.267578  28.689453
1.134766  25.376953
1.027344  30.416016
1.166016  31.574219
1.027344  25.546875
Errors = 21125
Finished in 2303seconds
